country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","14-04-2025 10:00:00",21.219665,81.630094,SO2,3,32,12
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","14-04-2025 10:00:00",22.06631475,83.33820077,PM2.5,42,72,57
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","14-04-2025 10:00:00",22.06631475,83.33820077,PM10,60,174,96
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","14-04-2025 10:00:00",28.580280,77.233829,OZONE,5,88,28
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","14-04-2025 10:00:00",28.588333,77.221667,PM10,71,146,109
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","14-04-2025 10:00:00",28.588333,77.221667,NO2,19,186,66
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","14-04-2025 10:00:00",28.611281,77.237738,SO2,8,30,18
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-04-2025 10:00:00",25.366336,87.117468,PM2.5,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-04-2025 10:00:00",25.366336,87.117468,NH3,3,3,3
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","14-04-2025 10:00:00",25.03280,85.41948,NH3,2,2,2
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-04-2025 10:00:00",25.892357,86.590325,OZONE,18,37,34
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","14-04-2025 10:00:00",28.7256504,77.2011573,PM10,76,282,155
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","14-04-2025 10:00:00",28.656756,77.227234,PM10,NA,NA,NA
India,Delhi,Delhi,"DTU, Delhi - CPCB","14-04-2025 10:00:00",28.7500499,77.1112615,CO,22,82,73
India,Gujarat,Surat,"Science Center, Surat - SMC","14-04-2025 10:00:00",21.170046,72.795405,CO,36,57,38
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","14-04-2025 10:00:00",20.362421,72.918013,PM2.5,30,92,48
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","14-04-2025 10:00:00",20.362421,72.918013,NH3,10,10,10
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","14-04-2025 10:00:00",20.362421,72.918013,SO2,36,38,37
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","14-04-2025 10:00:00",20.362421,72.918013,OZONE,2,2,2
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-04-2025 10:00:00",22.969611,72.643500,CO,48,66,52
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","14-04-2025 10:00:00",28.422681,77.148944,OZONE,122,327,304
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","14-04-2025 10:00:00",28.3153,76.9143,NO2,49,87,69
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","14-04-2025 10:00:00",28.3153,76.9143,SO2,8,19,14
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","14-04-2025 10:00:00",13.029152,77.585901,PM10,31,143,65
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","14-04-2025 10:00:00",13.029152,77.585901,OZONE,7,207,11
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","14-04-2025 10:00:00",12.938539,77.590100,PM10,20,54,34
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","14-04-2025 10:00:00",12.920984,77.584908,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","14-04-2025 10:00:00",12.920984,77.584908,CO,15,16,16
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","14-04-2025 10:00:00",12.920984,77.584908,OZONE,15,15,15
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","14-04-2025 10:00:00",13.003872,77.664217,SO2,8,9,9
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2025 10:00:00",13.0270199,77.494094,PM10,52,74,60
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2025 10:00:00",13.0270199,77.494094,NO2,15,25,20
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","14-04-2025 10:00:00",13.0270199,77.494094,NH3,4,6,5
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","14-04-2025 10:00:00",23.80569,86.44268,SO2,NA,NA,NA
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","14-04-2025 10:00:00",23.80569,86.44268,CO,1,151,2
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","14-04-2025 10:00:00",16.172806,75.659694,NO2,9,10,9
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","14-04-2025 10:00:00",16.172806,75.659694,CO,7,46,20
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","14-04-2025 10:00:00",12.9135218,77.5950804,PM2.5,24,54,38
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","14-04-2025 10:00:00",12.9135218,77.5950804,OZONE,23,24,24
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","14-04-2025 10:00:00",12.951913,77.539784,SO2,19,37,26
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","14-04-2025 10:00:00",12.9756843,77.5660749,PM10,86,101,93
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","14-04-2025 10:00:00",23.002657,72.591912,PM10,42,190,94
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","14-04-2025 10:00:00",23.002657,72.591912,SO2,31,46,38
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2025 10:00:00",23.016834,72.625775,PM2.5,26,175,59
